System,Period (days),"V
B-V",Spectral type,Mass (Msun ),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),"[M/H]
(dex)",References and notes
OGLE-SMC-ECL-3529,234.326,17.12,F8_III,2.36,12.6,2.61,3.766,2.22,"-0.93
± 0.10","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,0.8,G3_III,2.48,21.1,2.18,3.723,2.498,,
GG Ori,6.631,10.43,A2_V,2.342,1.852,4.272,3.998,1.48,,Torres et al. (2000AJ....120.3226T)
,,0.49,A2_V,2.338,1.83,4.282,3.998,1.47,,
V541 Cyg,15.338,10.44,B9.5_V,2.335,1.859,4.2675,4.027,1.601,,Torres et al. (2017ApJ...836..177T)
,,-0.06,B9.5_V,2.26,1.808,4.277,4.015,1.528,,
V364 Lac,7.352,8.36,A7_m,2.333,3.307,3.767,3.917,1.657,,Torres et al. (1999AJ....118.1831T)
,,0.18,A7_m,2.296,2.985,3.849,3.929,1.62,,
SZ Cen,4.108,8.48,A7_V,2.317,4.554,3.486,3.875,1.77,,Grønbech et al. (1977A&A....55..401G)
,,0.22,A7_V,2.277,3.624,3.677,3.892,1.64,,
V624 Her,3.895,6.2,A3_Vm,2.282,3.03,3.834,3.911,1.56,,Popper (1984AJ.....89.1057P)
,,0.14,A7_V,1.881,2.209,4.024,3.9,1.24,,
V1229 Tau,2.46,6.84,A0_V,2.273,1.799,4.285,4.009,1.499,#ERROR!,"Southworth et al. (2023MNRAS.520L..53S)
quoted metallicity is for the Pleiades open cluster"
,,0.08,A_Vm,1.595,1.41,4.342,3.885,0.792,,
OGLE-SMC-ECL-0439,279.266,18.06,G2_III,2.27,14.5,2.47,3.72,2.158,"-1.25
± 0.08","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,0.9,G2_III,2.29,15.4,2.42,3.721,2.215,,
YZ Cas,4.467,5.64,A1_Vm,2.263,2.525,3.988,3.979,1.672,#ERROR!,Pavlovski et al. (2014MNRAS.438..590P)
,,0.03,F2_V,1.325,1.331,4.311,3.838,0.552,,
OT And,20.853,7.89,A0_V,2.253,3.167,3.79,3.903,1.568,,Fekel et al. (2022AJ....164..224F)
,,0.38,F5_V,2.147,2.649,3.92,3.911,1.447,,
CoRoT 105906206,3.695,11.78,none,2.25,4.24,3.53,3.829,1.53,#ERROR!,"da Silva et al. (2014A&A...565A..55D)
The primary star is a ? Scuti pulsator"
,,0.7,none,1.29,1.34,4.3,3.789,0.36,,
SW CMa,10.092,9.72,A4_m,2.239,3.014,3.8298,3.914,1.566,#ERROR!,"Torres et al. (2012A&A...537A.117T)
Clausen et al. (2008A&A...487.1081C)"
,,0.13,A5_m,2.104,2.495,3.967,3.908,1.38,,
OGLE-LMC-ECL-25658,192.789,17,G8_III,2.231,21.4,2.126,3.685,2.354,"-0.48
± 0.13","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.17,G9_III,2.23,27.61,1.904,3.674,2.533,,
GZ CMa,4.801,7.98,A3_Vm,2.206,2.492,3.989,3.945,1.53,,Popper et al. (1985AJ.....90.1324P)
,,0.06,A4:_V,2.005,2.131,4.083,3.931,1.33,,
EG Ser,9.947,9.24,A2_V,2.2,1.761,4.29,3.944,1.22,,"Thurman (2023MNRAS.522.1310T)
Popper (1986PASP...98.1312P)"
,,0.17,A4_V,1.99,1.634,4.31,3.92,1.06,,
PT Vel,1.802,7.03,A0_V,2.198,2.094,4.138,3.966,1.461,,Bakis et al. (2008MNRAS.384.1657B)
,,0.05,A8_V,1.626,1.559,4.263,3.883,0.875,,
V1647 Sgr,3.283,6.94,A1_V,2.189,1.831,4.253,3.982,1.41,,Andersen & Giménez (1985A&A...145..206A)
,,-0.01,A1_V,1.972,1.666,4.289,3.959,1.23,,
KIC 9246715,171.277,9.58,none,2.1869,8.49,2.92,3.689,1.567,#ERROR!,"He?miniak et al. (2019MNRAS.484..451H)
Rawls et al. (2016ApJ...818..108R)"
,,1.05,none,2.1598,8.2,2.945,3.691,1.543,,
FT Ori,3.15,9.26,A0_Vm,2.182,1.86,4.237,3.982,1.486,,Sabby et al. (2011AJ....141..195S)
,,0.1,A2_Vm,1.783,1.616,4.272,3.935,1.179,,
V889 Aql,11.121,8.58,B9.5_V,2.17,1.87,4.23,3.964,1.354,,Baroch et al. (2022A&A...665A..13B)
,,0.19,B9.5_V,2.13,1.85,4.23,3.958,1.32,,
EE Peg,2.628,6.97,A3_m,2.151,2.09,4.131,3.94,1.352,,"Lacy & Popper (1984ApJ...281..268L)
Torres et al. (2010A&ARv..18...67T)"
,,0.08,F5_V,1.332,1.312,4.327,3.81,0.427,,
V335 Ser,3.45,7.49,A1_V,2.147,2.03,4.155,3.955,1.39,,Lacy et al. (2012AJ....144...63S)
,,0.14,A3_V,1.906,1.73,4.241,3.93,1.15,,
V596 Pup,4.596,6.58,A1_V,2.101,2.167,4.089,3.978,1.54,,Andersen et al. (1984A&A...134..147A)
,,0,A1_V,2.099,2.167,4.088,3.978,1.54,,
TZ For,75.666,6.88,G8_III,2.057,8.34,2.915,3.693,1.57,#ERROR!,"Gallenne et al. (2016A&A...586A..35G)
Andersen et al. (1991A&A...246...99A)"
,,0.97,F7_III,1.958,3.97,3.539,3.803,1.36,,
TV Nor,8.524,9,none,2.053,1.839,4.221,3.96,1.325,,North et al. (1997A&A...324..137N)
,,0.3,none,1.665,1.55,4.278,3.892,0.902,,
OGLE-BLG-ECL-123903,118.531,16.9,K2_III,2.045,9.54,2.79,3.679,1.633,#ERROR!,Suchomska et al. (2019A&A...621A..93S)
,,0.99,K2_III,2.074,9.052,2.841,3.68,1.591,,
EK Cep,4.428,7.87,A2_V,2.029,1.579,4.349,3.954,1.17,#ERROR!,"Popper (1987ApJ...313L..81P)
Martín & Rebolo (1993A&A...274..274M)"
,,0.04,G5_Vp,1.124,1.315,4.251,3.756,0.21,,
V459 Cas,8.458,10.37,A1_m,2.02,2.009,4.136,3.961,1.41,,Lacy et al. (2004AJ....128.1340L)
,,0.2,A1_m,1.96,1.965,4.144,3.959,1.38,,
V885 Cyg,1.695,10.03,A3_m,2.005,2.345,4,3.923,1.38,,Lacy et al. (2004AJ....128.1324L)
,,0.15,A4_m,2.234,3.385,3.728,3.911,1.66,,
VV Crv,3.145,5.27,F5_IV,1.978,3.375,3.678,3.813,1.261,,"Fekel, Henry & Sowell (2013AJ....146..146F)"
,,0.42,F5_V,1.513,1.65,4.183,3.822,0.676,,
KW Hya,7.75,6.11,A5_Vm,1.975,2.124,4.079,3.903,1.221,,"Gallenne et al. (2019A&A...632A..31G)
Andersen & Vaz (1984A&A...130..102A)"
,,0.17,F0_V,1.487,1.439,4.27,3.843,0.64,,
V2365 Oph,4.866,8.859,A1_V,1.965,2.19,4.051,3.978,1.544,,Ibanoglu et al. (2008MNRAS.384..331I)
,,0.257,none,1.056,0.934,4.521,3.806,0.121,,
WW Aur,2.525,5.87,A4_Vm,1.964,1.927,4.162,3.901,1.129,,Southworth et al. (2005MNRAS.363..529S)
,,0.14,A5_Vm,1.814,1.841,4.167,3.885,1.023,,
V788 Cen,4.966,5.74,A7_IV,1.9621,2.733,3.858,3.893,1.401,#ERROR!,Graczyk et al. (2022A&A...666A.128G)
,,0.25,A9_V,1.5463,1.642,4.197,3.87,0.864,,
AI Hya,8.29,9.36,F2_m,1.95,2.754,3.848,3.886,1.381,#ERROR!,"Kahraman Aliçavus et al. (2023MNRAS.520.1601K)
Lee et al. (2020PASJ...72...37L)"
,,0.36,F0_V,2.096,3.863,3.586,3.856,1.554,,
RR Lyn,9.945,5.54,A6_IVm,1.9394,2.564,3.9078,3.89,1.334,,"Southworth (2021Obs...141..282S)
Tomkin & Fekel (2006AJ....131.2652T)"
,,0.22,F0_Vm:,1.51,1.613,4.2017,3.856,0.795,,
V362 Pav,2.748,7.4,A4_V,1.936,2.1931,4.043,3.914,1.292,#ERROR!,Graczyk et al. (2022A&A...666A.128G)
,,0.18,K,0.8767,0.8428,4.53,3.695,-0.409,,
WW Cam,2.274,10.14,A4_Vm,1.92,1.911,4.159,3.922,1.2,,Lacy et al. (2002AJ....123.1013L)
,,0.47,A4_Vm,1.873,1.808,4.196,3.916,1.13,,
AY Cam,2.735,9.9,none,1.901,2.771,3.832,3.86,1.28,,Williamon et al. (2004AJ....128.1319W)
,,0.36,none,1.705,2.025,4.057,3.869,1.042,,
V392 Car,3.175,9.48,A2_V,1.9,1.625,4.286,3.947,,,Debernardi & North (2001A&A...374..204D)
,,0.21,A2_V,1.853,1.601,4.31,3.937,,,
KIC 3858884,25.952,9.45,none,1.88,3.45,3.63,3.833,,,Maceroni et al. (2014A&A...563A..59M)
,,0.61,none,1.86,3.05,3.74,3.82,,,
KIC 4076952,9.762,13.88,none,1.86,3.078,3.742,3.819,,,Hambleton et al. (2022ApJ...931...75H)
,,0.82,none,1.37,1.451,4.251,3.825,,,
V456 Cyg,0.892,10.85,A2m,1.859,1.588,4.306,3.889,,,"Van Reeth et al. (2022A&A...659A.177V)
Bakis et al. (2014AJ....147..149B)"
,,0.31,F3_V,1.576,1.507,4.279,3.86,,,
RS Cha,1.67,6.03,A8_V,1.858,2.137,4.047,3.906,1.24,#ERROR!,"Clausen & Nordström (1980A&A....83..339C)
Alecian et al. (2005A&A...442..993A)"
,,0.2,A8_V,1.821,2.338,3.961,3.886,1.24,,
