name,ra,dec,core_radius (degrees),central_radius (degrees),cluster_radius (degrees),num_core_stars,num_central_stars,num_cluster_stars,distance (PC)
Ruprecht 65,08 39 16,-44 04.2,0.015,0.085,0.155,4,32,106,786
FSR 1699,14 39 40,-44 04.2,0.025,0.100,0.155,6,49,112,1953
Ruprecht 80,09 42 04,-44 01.2,0.015,0.070,0.110,4,26,54,2183
NGC 6169,16 34 07,-44 01.0,0.020,0.070,0.110,3,21,60,1007
FSR 1418,08 47 39,-43 59.9,0.018,0.070,0.140,7,40,154,1249
FSR 1442,09 02 48,-43 57.6,0.010,0.060,0.085,2,36,55,1186
FSR 1481,09 59 20,-43 54.5,0.020,0.075,0.155,9,30,97,4104
DBSB 27,08 46 39,-43 53.0,0.010,0.042,0.065,1,13,27,2479
FSR 1411,08 34 23,-43 51.6,0.025,0.095,0.200,5,34,110,912
FSR 1424,08 50 38,-43 49.9,0.015,0.065,0.100,3,34,73,1829
FSR 1435,08 57 05,-43 45.9,0.025,0.100,0.230,4,18,61,1296
ESO 277-04,16 40 24,-43 44.4,0.010,0.050,0.075,2,24,43,1790
NGC 6541,18 08 02,-43 42.9,0.055,0.125,0.230,5,37,136,7499
FSR 1634,12 54 27,-43 40.8,0.025,0.100,0.170,3,41,97,6310
Pismis 10,09 02 38,-43 38.2,0.015,0.050,0.085,3,26,46,8835
vdBergh-Hagen 37,08 35 47,-43 37.1,0.010,0.060,0.120,4,23,55,5202
Platais 9,09 11 49,-43 31.8,0.140,1.020,2.100,27,518,2277,200
FSR 1635,12 54 57,-43 30.2,0.025,0.100,0.165,3,34,81,6271
Lynga 13,16 48 56,-43 25.7,0.010,0.045,0.075,4,23,51,3412
DBSB 175,16 52 35,-43 23.8,0.010,0.035,0.060,2,16,36,3798
Ruprecht 67,08 41 46,-43 23.7,0.018,0.080,0.170,7,65,227,1342
NGC 6192,16 40 21,-43 21.6,0.040,0.125,0.235,34,141,280,1619
vdBergh-Hagen 56,08 57 07,-43 17.1,0.015,0.075,0.125,2,20,48,737
NGC 3680,11 25 37,-43 14.1,0.020,0.095,0.190,3,40,100,946
FSR 1672,13 38 01,-43 10.8,0.020,0.085,0.155,2,30,76,3020
FSR 1511,10 39 58,-43 07.4,0.020,0.100,0.190,3,31,65,2473
NGC 6322,17 18 27,-42 55.8,0.020,0.105,0.145,4,66,101,1089
MWSC 5604,03 09 49,-42 52.8,0.017,0.100,0.200,1,7,17,1437
FSR 1684,13 57 31,-42 52.2,0.020,0.090,0.160,1,20,57,2733
ESO 311-14,07 49 24,-42 41.1,0.012,0.070,0.140,2,21,70,1278
ESO 282-26,19 13 44,-42 37.8,0.025,0.130,0.195,3,59,136,1509
FSR 1421,08 58 06,-42 36.0,0.010,0.040,0.085,1,7,17,1268
DBSB 176,16 59 26,-42 34.5,0.012,0.050,0.085,2,10,18,7693
Trumpler 10,08 47 29,-42 24.0,0.030,0.220,0.390,8,98,291,417
FSR 1744,16 51 32,-42 23.6,0.018,0.075,0.120,5,57,135,1844
ESO 309-03,06 50 39,-42 23.0,0.015,0.060,0.110,2,13,26,2057
FSR 1401,08 37 03,-42 21.9,0.015,0.065,0.115,4,45,122,4178
FSR 1406,08 38 17,-42 21.0,0.010,0.060,0.117,2,53,168,3208
DBSB 177,17 04 17,-42 20.0,0.015,0.040,0.075,7,39,100,2601
MWSC 5744,20 20 20,-42 14.7,0.023,0.070,0.115,4,15,33,1836
